Security Code,Issuer Name,Security ID,Security Name,Status
17526487515136,Reliance Industries Limited,RELIANCE.NS,RELIANCE INDUSTRIES LTD,EQUITY
16108279037952,Tata Consultancy Services Limited,TCS.NS,TATA CONSULTANCY SERV LT,EQUITY
14295887773696,HDFC Bank Limited,HDFCBANK.NS,HDFC BANK LTD,EQUITY
7967777751040,Infosys Limited,INFY.NS,INFOSYS LIMITED,EQUITY
9331352272896,ICICI Bank Limited,ICICIBANK.NS,ICICI BANK LTD.,EQUITY
5641570615296,Hindustan Unilever Limited,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,EQUITY
5816896716800,ITC Limited,ITC.NS,ITC LTD,EQUITY
7657769926656,State Bank of India,SBIN.NS,STATE BANK OF INDIA,EQUITY
9585124442112,Bharti Airtel Limited,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,EQUITY
3551350751232,Kotak Mahindra Bank Limited,KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,EQUITY
1927685210112,Adani Green Energy Limited,ADANIGREEN.NS,ADANI GREEN ENERGY LTD,EQUITY
2293071609856,Asian Paints Limited,ASIANPAINT.NS,ASIAN PAINTS LIMITED,EQUITY
5428050657280,Larsen & Toubro Limited,LT.NS,LARSEN & TOUBRO LTD.,EQUITY
2880660307968,Adani Enterprises Limited,ADANIENT.NS,ADANI ENTERPRISES LIMITED,EQUITY
5173384577024,HCL Technologies Limited,HCLTECH.NS,HCL TECHNOLOGIES LTD,EQUITY
4253054140416,Bajaj Finance Limited,BAJFINANCE.NS,BAJAJ FINANCE LIMITED,EQUITY
3604376715264,Axis Bank Limited,AXISBANK.NS,AXIS BANK LIMITED,EQUITY
1381808209920,HDFC Life Insurance Company Limited,HDFCLIFE.NS,HDFC LIFE INS CO LTD,EQUITY
4334749745152,Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,EQUITY
3406360215552,UltraTech Cement Limited,ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,EQUITY
3257039585280,Oil and Natural Gas Corporation Limited,ONGC.NS,OIL AND NATURAL GAS CORP.,EQUITY
2940294660096,Tata Motors Limited,TATAMOTORS.NS,TATA MOTORS LIMITED,EQUITY
3174886014976,Wipro Limited,WIPRO.NS,WIPRO LTD,EQUITY
2468610834432,JSW Steel Limited,JSWSTEEL.NS,JSW STEEL LIMITED,EQUITY
3546403045376,Maruti Suzuki India Limited,MARUTI.NS,MARUTI SUZUKI INDIA LTD.,EQUITY
3076449370112,Titan Company Limited,TITAN.NS,TITAN COMPANY LIMITED,EQUITY
3061294825472,Power Grid Corporation of India Limited,POWERGRID.NS,POWER GRID CORP. LTD.,EQUITY
3586313420800,NTPC Limited,NTPC.NS,NTPC LTD,EQUITY
1798943277056,Grasim Industries Limited,GRASIM.NS,GRASIM INDUSTRIES LTD,EQUITY
765488594944,IndusInd Bank Limited,INDUSINDBK.NS,INDUSIND BANK LIMITED,EQUITY
2551370219520,Coal India Limited,COALINDIA.NS,COAL INDIA LTD,EQUITY
924105244672,Tata Consumer Products Limited,TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,EQUITY
1316520853504,Bharat Petroleum Corporation Limited,BPCL.NS,BHARAT PETROLEUM CORP  LT,EQUITY
1472312115200,SBI Life Insurance Company Limited,SBILIFE.NS,SBI LIFE INSURANCE CO LTD,EQUITY
2739183026176,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,ADANI PORT & SEZ LTD,EQUITY
1582102216704,Divi's Laboratories Limited,DIVISLAB.NS,DIVI S LABORATORIES LTD,EQUITY
919190044672,Hero MotoCorp Limited,HEROMOTOCO.NS,HERO MOTOCORP LIMITED,EQUITY
1154993225728,Britannia Industries Limited,BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,EQUITY
2537093070848,Bajaj Auto Limited,BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,EQUITY
1327374532608,Eicher Motors Limited,EICHERMOT.NS,EICHER MOTORS LTD,EQUITY
1034367664128,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,EQUITY
1186545139712,Cipla Limited,CIPLA.NS,CIPLA LTD,EQUITY
1045630353408,Dr. Reddy's Laboratories Limited,DRREDDY.NS,DR. REDDY S LABORATORIES,EQUITY
1489169940480,Hindalco Industries Limited,HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,EQUITY
978272059392,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS,ICICI PRU LIFE INS CO LTD,EQUITY
1408346095616,The Tata Power Company Limited,TATAPOWER.NS,TATA POWER CO LTD,EQUITY
963760619520,Shree Cement Limited,SHREECEM.NS,SHREE CEMENT LIMITED,EQUITY
3657503080448,Mahindra & Mahindra Limited,M&M.NS,MAHINDRA & MAHINDRA LTD,EQUITY
2148961353728,Nestlé India Limited,NESTLEIND.NS,NESTLE INDIA LIMITED,EQUITY
434600509440,UPL Limited,UPL.NS,UPL LIMITED,EQUITY
